business_id,business_name,industry_id,industry,region_id,region,state,city_tier,years_in_business,revenue_band,estimated_monthly_revenue_band_midpoint,employee_count_base,legal_structure,credit_score_band_at_origination,has_prior_delinquency,owner_experience_years,online_sales_share,relationship_manager_id,onboarding_date,primary_bank_account_type
B00001,Business 00001,IND08,E-commerce Sellers,R05,Pacific Northwest,WA,Tier 3,9,500K-1M,70000,6,LLC,720-759,0,2,0.392,RM043,2022-06-23,operating
B00002,Business 00002,IND08,E-commerce Sellers,R01,Northeast,NY,Tier 1,3,3M-10M,430000,21,LLC,640-679,1,20,0.808,RM042,2023-04-15,operating
B00003,Business 00003,IND05,Healthcare Clinics,R02,Midwest,IL,Tier 3,7,3M-10M,430000,25,LLC,580-639,0,6,0.235,RM006,2022-04-30,operating
B00004,Business 00004,IND09,Wholesale Distribution,R03,South,TX,Tier 3,1,250K-500K,35000,3,LLC,640-679,0,5,0.132,RM051,2022-06-30,operating
B00005,Business 00005,IND11,Education & Training,R05,Pacific Northwest,WA,Tier 2,14,250K-500K,35000,3,Partnership,580-639,0,11,0.315,RM052,2022-06-19,mixed
B00006,Business 00006,IND11,Education & Training,R06,Mountain,CO,Tier 2,17,500K-1M,70000,6,LLC,580-639,0,4,0.363,RM057,2022-03-28,merchant
B00007,Business 00007,IND10,Personal Services,R02,Midwest,IL,Tier 3,8,1M-3M,165000,14,Sole Proprietor,680-719,0,4,0.322,RM040,2022-09-05,mixed
B00008,Business 00008,IND11,Education & Training,R02,Midwest,IL,Tier 1,6,<250K,15000,3,LLC,640-679,0,20,0.09,RM043,2022-11-21,merchant
B00009,Business 00009,IND06,Professional Services,R06,Mountain,CO,Tier 1,6,250K-500K,35000,3,Partnership,720-759,0,19,0.505,RM008,2023-06-08,operating
B00010,Business 00010,IND11,Education & Training,R02,Midwest,IL,Tier 3,10,500K-1M,70000,6,LLC,680-719,0,21,0.358,RM006,2023-07-25,merchant
B00011,Business 00011,IND01,Restaurants & Food Service,R03,South,TX,Tier 3,11,250K-500K,35000,4,Partnership,680-719,0,22,0.321,RM051,2023-11-14,operating
B00012,Business 00012,IND06,Professional Services,R01,Northeast,NY,Tier 2,4,1M-3M,165000,9,S-Corp,720-759,0,16,0.099,RM053,2023-11-23,merchant
