review_id,business_id,review_month,review_type,review_action,internal_watchlist_flag_after_review,review_reason,notes_available_flag
CR0000001,B01432,2024-09,automated,watchlist_add,1,collection_delay,0
CR0000002,B01432,2024-12,automated,manual_review,1,cash_flow_change,0
CR0000003,B01432,2025-03,automated,limit_decrease,1,collection_delay,0
CR0000004,B01432,2025-09,relationship_manager,watchlist_add,1,cash_flow_change,0
CR0000005,B01432,2025-12,automated,manual_review,1,cash_flow_change,1
CR0000006,B01434,2024-03,automated,limit_decrease,1,repayment_behavior,0
CR0000007,B01434,2024-06,risk_team,limit_decrease,1,industry_conditions,1
CR0000008,B01434,2024-09,risk_team,limit_decrease,1,repayment_behavior,0
CR0000009,B01434,2024-12,automated,limit_decrease,1,repayment_behavior,0
CR0000010,B01434,2025-03,automated,no_change,0,cash_flow_change,1
CR0000011,B01434,2025-06,automated,watchlist_add,1,cash_flow_change,0
CR0000012,B01434,2025-12,relationship_manager,limit_decrease,1,repayment_behavior,0
CR0000013,B01443,2024-03,automated,watchlist_add,1,cash_flow_change,1
CR0000014,B01443,2024-06,relationship_manager,watchlist_add,1,repayment_behavior,0
CR0000015,B01443,2024-09,automated,watchlist_add,1,industry_conditions,0
CR0000016,B01443,2024-12,automated,watchlist_add,1,repayment_behavior,0
CR0000017,B01443,2025-03,relationship_manager,watchlist_add,1,repayment_behavior,0
CR0000018,B01443,2025-06,relationship_manager,watchlist_add,1,repayment_behavior,0
CR0000019,B01443,2025-09,automated,watchlist_add,1,repayment_behavior,0
CR0000020,B01449,2024-03,relationship_manager,limit_decrease,1,repayment_behavior,1
CR0000021,B01449,2024-06,automated,limit_decrease,1,cash_flow_change,0
CR0000022,B01449,2024-09,automated,watchlist_add,1,industry_conditions,1
CR0000023,B01449,2025-03,relationship_manager,limit_decrease,1,repayment_behavior,0
CR0000024,B01449,2025-06,automated,watchlist_add,1,cash_flow_change,1
CR0000025,B01487,2024-03,automated,watchlist_add,1,cash_flow_change,0
CR0000026,B01487,2024-06,automated,no_change,0,repayment_behavior,1
CR0000027,B01487,2024-12,automated,limit_decrease,1,collection_delay,1
CR0000028,B01487,2025-03,relationship_manager,watchlist_add,1,industry_conditions,1
CR0000029,B01487,2025-06,relationship_manager,limit_decrease,1,cash_flow_change,0
CR0000030,B01487,2025-09,automated,watchlist_add,1,cash_flow_change,1
CR0000031,B01487,2025-12,relationship_manager,manual_review,1,cash_flow_change,0
CR0000032,B01490,2024-09,relationship_manager,limit_decrease,1,cash_flow_change,0
CR0000033,B01490,2024-12,relationship_manager,watchlist_add,1,repayment_behavior,1
CR0000034,B01490,2025-03,automated,manual_review,1,industry_conditions,1
CR0000035,B01490,2025-12,automated,watchlist_add,1,industry_conditions,1
CR0000036,B01250,2024-09,risk_team,limit_decrease,1,repayment_behavior,0
CR0000037,B01250,2024-12,automated,watchlist_add,1,cash_flow_change,1
CR0000038,B01250,2025-03,relationship_manager,watchlist_add,1,repayment_behavior,1
CR0000039,B01250,2025-06,relationship_manager,watchlist_remove,0,cash_flow_change,0
CR0000040,B01250,2025-09,relationship_manager,watchlist_add,1,cash_flow_change,1
CR0000041,B01250,2025-12,relationship_manager,manual_review,1,collection_delay,0
CR0000042,B01323,2024-03,automated,watchlist_add,1,cash_flow_change,0
CR0000043,B01323,2024-06,automated,watchlist_add,1,repayment_behavior,0
CR0000044,B01323,2024-09,automated,watchlist_add,1,repayment_behavior,1
CR0000045,B01323,2025-03,automated,watchlist_add,1,collection_delay,1
CR0000046,B01323,2025-06,automated,limit_decrease,1,industry_conditions,1
CR0000047,B01323,2025-09,risk_team,watchlist_add,1,repayment_behavior,0
CR0000048,B01323,2025-12,relationship_manager,manual_review,1,repayment_behavior,0
CR0000049,B01345,2024-06,automated,watchlist_add,1,cash_flow_change,0
CR0000050,B01345,2024-09,relationship_manager,limit_decrease,1,cash_flow_change,1
CR0000051,B01345,2024-12,relationship_manager,limit_decrease,1,repayment_behavior,0
CR0000052,B01345,2025-03,risk_team,limit_decrease,1,repayment_behavior,0
CR0000053,B01345,2025-06,relationship_manager,watchlist_add,1,repayment_behavior,1
CR0000054,B01345,2025-09,automated,watchlist_add,1,collection_delay,0
CR0000055,B01345,2025-12,automated,manual_review,1,cash_flow_change,0
CR0000056,B01347,2024-06,automated,watchlist_add,1,repayment_behavior,1
CR0000057,B01347,2024-09,automated,manual_review,1,cash_flow_change,1
CR0000058,B01347,2024-12,relationship_manager,watchlist_add,1,cash_flow_change,0
CR0000059,B01347,2025-03,relationship_manager,watchlist_add,1,repayment_behavior,0
CR0000060,B01347,2025-06,risk_team,limit_decrease,1,repayment_behavior,1
CR0000061,B01347,2025-09,risk_team,limit_decrease,1,repayment_behavior,1
CR0000062,B01347,2025-12,automated,manual_review,1,repayment_behavior,1
CR0000063,B01352,2024-06,automated,limit_decrease,1,collection_delay,0
CR0000064,B01352,2024-09,relationship_manager,limit_decrease,1,repayment_behavior,0
CR0000065,B01352,2025-03,risk_team,watchlist_add,1,collection_delay,0
CR0000066,B01352,2025-06,risk_team,watchlist_add,1,industry_conditions,1
CR0000067,B01352,2025-09,automated,limit_decrease,1,cash_flow_change,0
CR0000068,B01352,2025-12,automated,limit_decrease,1,cash_flow_change,0
CR0000069,B01370,2024-03,relationship_manager,manual_review,1,repayment_behavior,0
CR0000070,B01370,2024-06,automated,watchlist_add,1,cash_flow_change,1
CR0000071,B01370,2024-09,relationship_manager,watchlist_add,1,collection_delay,0
CR0000072,B01370,2024-12,risk_team,manual_review,1,repayment_behavior,0
CR0000073,B01370,2025-03,relationship_manager,limit_decrease,1,cash_flow_change,1
CR0000074,B01370,2025-06,relationship_manager,watchlist_add,1,cash_flow_change,0
CR0000075,B01370,2025-09,risk_team,watchlist_add,1,cash_flow_change,1
CR0000076,B01378,2024-03,automated,watchlist_add,1,cash_flow_change,0
CR0000077,B01378,2024-06,automated,watchlist_add,1,repayment_behavior,0
CR0000078,B01378,2024-09,relationship_manager,manual_review,1,repayment_behavior,0
CR0000079,B01378,2025-03,automated,no_change,0,cash_flow_change,0
CR0000080,B01378,2025-06,relationship_manager,watchlist_add,1,repayment_behavior,0
CR0000081,B01378,2025-09,relationship_manager,watchlist_add,1,repayment_behavior,0
CR0000082,B01389,2024-06,automated,limit_decrease,1,repayment_behavior,0
CR0000083,B01389,2024-09,automated,limit_decrease,1,repayment_behavior,1
CR0000084,B01389,2024-12,relationship_manager,limit_decrease,1,collection_delay,1
CR0000085,B01389,2025-03,relationship_manager,limit_decrease,1,repayment_behavior,1
CR0000086,B01389,2025-06,automated,watchlist_add,1,repayment_behavior,1
CR0000087,B01389,2025-09,risk_team,watchlist_add,1,repayment_behavior,0
CR0000088,B01389,2025-12,automated,watchlist_add,1,repayment_behavior,0
CR0000089,B01395,2024-03,relationship_manager,manual_review,1,cash_flow_change,0
CR0000090,B01395,2024-09,automated,watchlist_add,1,collection_delay,1
CR0000091,B01395,2024-12,automated,watchlist_add,1,industry_conditions,1
CR0000092,B01395,2025-03,risk_team,limit_decrease,1,collection_delay,0
CR0000093,B01395,2025-06,relationship_manager,watchlist_add,1,repayment_behavior,1
CR0000094,B01395,2025-09,automated,limit_decrease,1,repayment_behavior,1
CR0000095,B01395,2025-12,automated,manual_review,1,industry_conditions,0
CR0000096,B01403,2024-03,automated,watchlist_add,1,cash_flow_change,1
CR0000097,B01403,2024-09,relationship_manager,watchlist_add,1,collection_delay,1
CR0000098,B01403,2024-12,relationship_manager,watchlist_add,1,cash_flow_change,1
CR0000099,B01403,2025-03,relationship_manager,limit_decrease,1,collection_delay,1
CR0000100,B01403,2025-06,automated,manual_review,1,repayment_behavior,1
CR0000101,B01403,2025-09,relationship_manager,limit_decrease,1,repayment_behavior,0
CR0000102,B01417,2024-06,automated,limit_decrease,1,collection_delay,1
CR0000103,B01417,2024-09,relationship_manager,no_change,0,repayment_behavior,1
CR0000104,B01417,2024-12,automated,watchlist_add,1,collection_delay,0
CR0000105,B01417,2025-06,relationship_manager,limit_decrease,1,repayment_behavior,0
CR0000106,B01417,2025-09,automated,manual_review,1,collection_delay,1
CR0000107,B01417,2025-12,relationship_manager,watchlist_remove,0,cash_flow_change,1
CR0000108,B01431,2024-03,relationship_manager,manual_review,1,collection_delay,0
CR0000109,B01431,2024-06,automated,manual_review,1,repayment_behavior,0
CR0000110,B01431,2024-12,automated,limit_decrease,1,cash_flow_change,1
CR0000111,B01431,2025-03,automated,limit_decrease,1,industry_conditions,0
CR0000112,B01431,2025-06,automated,watchlist_add,1,repayment_behavior,0
CR0000113,B01431,2025-09,automated,watchlist_remove,0,cash_flow_change,0
CR0000114,B01446,2024-03,relationship_manager,watchlist_add,1,repayment_behavior,1
CR0000115,B01446,2024-09,automated,limit_decrease,1,cash_flow_change,0
CR0000116,B01446,2024-12,automated,limit_decrease,1,repayment_behavior,1
CR0000117,B01446,2025-03,automated,watchlist_add,1,repayment_behavior,1
CR0000118,B01446,2025-06,relationship_manager,manual_review,1,repayment_behavior,0
CR0000119,B01446,2025-09,relationship_manager,watchlist_add,1,cash_flow_change,0
CR0000120,B01446,2025-12,relationship_manager,watchlist_add,1,collection_delay,1
CR0000121,B01465,2024-03,automated,limit_decrease,1,repayment_behavior,0
CR0000122,B01465,2024-06,relationship_manager,limit_decrease,1,cash_flow_change,0
CR0000123,B01465,2024-12,relationship_manager,limit_decrease,1,repayment_behavior,0
CR0000124,B01465,2025-03,automated,limit_decrease,1,repayment_behavior,1
CR0000125,B01465,2025-06,risk_team,limit_decrease,1,collection_delay,0
CR0000126,B01465,2025-09,relationship_manager,limit_decrease,1,repayment_behavior,1
CR0000127,B01465,2025-12,relationship_manager,watchlist_add,1,repayment_behavior,0
CR0000128,B01476,2024-03,relationship_manager,watchlist_add,1,collection_delay,0
CR0000129,B01476,2024-06,relationship_manager,watchlist_add,1,repayment_behavior,0
CR0000130,B01476,2024-09,relationship_manager,limit_decrease,1,repayment_behavior,0
CR0000131,B01476,2024-12,relationship_manager,watchlist_add,1,collection_delay,0
CR0000132,B01476,2025-03,relationship_manager,no_change,0,repayment_behavior,1
CR0000133,B01476,2025-06,automated,limit_decrease,1,repayment_behavior,0
CR0000134,B01476,2025-09,relationship_manager,limit_decrease,1,repayment_behavior,1
CR0000135,B01476,2025-12,automated,watchlist_add,1,cash_flow_change,1
CR0000136,B01478,2024-03,automated,no_change,0,cash_flow_change,1
CR0000137,B01478,2024-06,automated,no_change,0,industry_conditions,0
CR0000138,B01478,2024-09,automated,limit_decrease,1,cash_flow_change,1
CR0000139,B01478,2024-12,relationship_manager,watchlist_add,1,cash_flow_change,1
CR0000140,B01478,2025-06,relationship_manager,manual_review,1,cash_flow_change,1
CR0000141,B01478,2025-09,automated,manual_review,1,repayment_behavior,1
CR0000142,B01478,2025-12,automated,watchlist_add,1,collection_delay,1
CR0000143,B00030,2024-03,relationship_manager,limit_decrease,1,repayment_behavior,0
CR0000144,B00030,2024-06,automated,no_change,0,cash_flow_change,1
CR0000145,B00030,2024-09,automated,manual_review,1,repayment_behavior,1
CR0000146,B00030,2024-12,relationship_manager,limit_decrease,1,repayment_behavior,0
CR0000147,B00030,2025-03,relationship_manager,watchlist_add,1,cash_flow_change,0
CR0000148,B00030,2025-06,relationship_manager,manual_review,1,cash_flow_change,1
CR0000149,B00030,2025-09,relationship_manager,watchlist_add,1,repayment_behavior,0
CR0000150,B00030,2025-12,automated,manual_review,1,cash_flow_change,1
CR0000151,B00041,2024-03,automated,manual_review,1,collection_delay,0
CR0000152,B00041,2024-06,automated,limit_decrease,1,repayment_behavior,0
CR0000153,B00041,2024-09,automated,limit_decrease,1,cash_flow_change,1
CR0000154,B00041,2024-12,relationship_manager,watchlist_add,1,repayment_behavior,1
CR0000155,B00041,2025-06,relationship_manager,limit_decrease,1,repayment_behavior,1
CR0000156,B00041,2025-09,risk_team,limit_decrease,1,repayment_behavior,1
CR0000157,B00041,2025-12,automated,limit_decrease,1,collection_delay,1
CR0000158,B00043,2024-06,automated,limit_decrease,1,repayment_behavior,1
CR0000159,B00043,2024-12,relationship_manager,manual_review,1,repayment_behavior,1
CR0000160,B00043,2025-03,relationship_manager,watchlist_add,1,repayment_behavior,1
CR0000161,B00043,2025-06,relationship_manager,limit_decrease,1,cash_flow_change,1
CR0000162,B00043,2025-09,relationship_manager,limit_decrease,1,repayment_behavior,0
CR0000163,B00088,2024-03,automated,manual_review,1,repayment_behavior,0
CR0000164,B00088,2024-09,automated,limit_decrease,1,collection_delay,1
CR0000165,B00088,2025-03,automated,watchlist_add,1,cash_flow_change,1
CR0000166,B00088,2025-06,relationship_manager,limit_decrease,1,collection_delay,1
CR0000167,B00088,2025-09,relationship_manager,watchlist_add,1,cash_flow_change,0
CR0000168,B00088,2025-12,automated,limit_decrease,1,cash_flow_change,1
CR0000169,B00096,2024-03,automated,watchlist_add,1,cash_flow_change,1
CR0000170,B00096,2024-06,automated,watchlist_add,1,cash_flow_change,0
CR0000171,B00096,2024-09,risk_team,watchlist_add,1,collection_delay,1
CR0000172,B00096,2024-12,relationship_manager,manual_review,1,cash_flow_change,0
CR0000173,B00096,2025-03,automated,limit_decrease,1,cash_flow_change,1
CR0000174,B00096,2025-09,automated,watchlist_add,1,portfolio_review,0
CR0000175,B00096,2025-12,relationship_manager,watchlist_add,1,repayment_behavior,0
CR0000176,B00103,2024-03,relationship_manager,limit_decrease,1,cash_flow_change,0
CR0000177,B00103,2024-06,relationship_manager,watchlist_add,1,repayment_behavior,1
CR0000178,B00103,2024-09,automated,watchlist_add,1,collection_delay,0
CR0000179,B00103,2024-12,relationship_manager,watchlist_add,1,cash_flow_change,0
CR0000180,B00103,2025-03,relationship_manager,manual_review,1,collection_delay,0
CR0000181,B00103,2025-06,relationship_manager,watchlist_add,1,cash_flow_change,0
CR0000182,B00103,2025-12,relationship_manager,watchlist_add,1,collection_delay,0
CR0000183,B00159,2024-03,risk_team,watchlist_add,1,collection_delay,0
CR0000184,B00159,2024-06,relationship_manager,watchlist_add,1,cash_flow_change,1
CR0000185,B00159,2024-09,relationship_manager,limit_decrease,1,cash_flow_change,1
CR0000186,B00159,2024-12,relationship_manager,limit_decrease,1,repayment_behavior,1
CR0000187,B00159,2025-03,relationship_manager,watchlist_add,1,cash_flow_change,1
CR0000188,B00159,2025-09,automated,watchlist_add,1,repayment_behavior,1
CR0000189,B00159,2025-12,automated,manual_review,1,collection_delay,0
CR0000190,B00171,2024-03,relationship_manager,limit_decrease,1,portfolio_review,0
CR0000191,B00171,2024-06,automated,watchlist_add,1,repayment_behavior,0
CR0000192,B00171,2024-09,automated,watchlist_add,1,repayment_behavior,0
CR0000193,B00171,2024-12,automated,limit_decrease,1,repayment_behavior,0
CR0000194,B00171,2025-03,automated,limit_decrease,1,industry_conditions,0
CR0000195,B00171,2025-12,relationship_manager,limit_decrease,1,industry_conditions,0
CR0000196,B00205,2024-03,automated,watchlist_add,1,industry_conditions,1
CR0000197,B00205,2024-09,automated,watchlist_add,1,repayment_behavior,0
CR0000198,B00205,2024-12,risk_team,limit_decrease,1,industry_conditions,0
CR0000199,B00205,2025-03,automated,limit_decrease,1,collection_delay,0
CR0000200,B00205,2025-06,automated,limit_increase,0,repayment_behavior,0
CR0000201,B00205,2025-09,automated,watchlist_add,1,collection_delay,0
CR0000202,B00205,2025-12,automated,limit_decrease,1,collection_delay,1
CR0000203,B00208,2024-03,automated,watchlist_add,1,collection_delay,0
CR0000204,B00208,2024-06,relationship_manager,watchlist_add,1,collection_delay,0
CR0000205,B00208,2024-12,automated,manual_review,1,repayment_behavior,0
CR0000206,B00208,2025-03,automated,no_change,0,portfolio_review,0
CR0000207,B00208,2025-06,relationship_manager,watchlist_add,1,repayment_behavior,0
CR0000208,B00208,2025-12,automated,watchlist_add,1,cash_flow_change,0
CR0000209,B00220,2024-03,automated,watchlist_add,1,portfolio_review,0
CR0000210,B00220,2024-06,automated,limit_decrease,1,collection_delay,1
CR0000211,B00220,2025-03,automated,no_change,0,repayment_behavior,0
CR0000212,B00220,2025-06,automated,watchlist_add,1,repayment_behavior,1
CR0000213,B00220,2025-09,automated,watchlist_add,1,repayment_behavior,1
CR0000214,B00220,2025-12,relationship_manager,watchlist_add,1,collection_delay,0
CR0000215,B00227,2024-03,relationship_manager,watchlist_add,1,industry_conditions,0
CR0000216,B00227,2024-06,relationship_manager,limit_decrease,1,portfolio_review,1
CR0000217,B00227,2024-09,automated,manual_review,1,collection_delay,1
CR0000218,B00227,2025-03,automated,watchlist_add,1,repayment_behavior,0
CR0000219,B00227,2025-09,relationship_manager,watchlist_add,1,cash_flow_change,0
CR0000220,B00232,2024-03,automated,limit_decrease,1,repayment_behavior,1
CR0000221,B00232,2024-06,automated,limit_decrease,1,industry_conditions,1
CR0000222,B00232,2024-09,automated,manual_review,1,collection_delay,0
CR0000223,B00232,2024-12,automated,watchlist_add,1,repayment_behavior,0
CR0000224,B00232,2025-09,automated,no_change,0,collection_delay,1
