loan_id,business_id,product_type,loan_amount,start_date,interest_rate,loan_term_months,maturity_date,collateral_type,secured_flag,origination_channel,underwriting_score_band,initial_risk_grade
L000001,B00033,Term Loan,796679.05,2023-07-06,0.06,12,2024-06-30,equipment,1,online,760+,B
L000002,B00459,Term Loan,42790.77,2024-06-03,0.1383,36,2027-05-19,receivables,1,online,580-639,A
L000003,B01380,Invoice Financing,366551.3,2023-11-13,0.0888,36,2026-10-28,UCC lien,1,online,720-759,A
L000004,B00410,Term Loan,102223.93,2024-10-17,0.127,36,2027-10-02,equipment,1,branch,640-679,B
L000005,B00465,Term Loan,332930.63,2023-04-16,0.116,36,2026-03-31,receivables,1,branch,640-679,B
L000006,B00544,Equipment Loan,279036.84,2023-08-08,0.105,18,2025-01-29,equipment,0,online,680-719,B
L000007,B01271,Term Loan,133461.61,2023-02-07,0.0855,24,2025-01-27,receivables,0,branch,680-719,B
L000008,B01285,Equipment Loan,80285.51,2023-04-28,0.1227,24,2025-04-17,receivables,1,online,640-679,B
L000009,B01209,Term Loan,516316.87,2024-03-21,0.0585,24,2026-03-11,receivables,1,branch,760+,B
L000010,B00620,Revolving Credit,1200000.0,2024-06-24,0.121,18,2025-12-16,UCC lien,0,partner,640-679,B
L000011,B00464,Term Loan,59055.2,2023-05-14,0.1097,36,2026-04-28,real estate,0,branch,640-679,A
L000012,B01375,Invoice Financing,205035.92,2024-05-30,0.1395,12,2025-05-25,equipment,1,partner,580-639,C
L000013,B00773,Equipment Loan,1200000.0,2023-12-03,0.1193,18,2025-05-26,unsecured,1,online,640-679,B
L000014,B01446,Equipment Loan,199977.49,2023-07-02,0.1071,18,2024-12-23,receivables,0,branch,640-679,A
L000015,B00795,Equipment Loan,39798.27,2023-07-30,0.1363,18,2025-01-20,UCC lien,1,online,580-639,C
L000016,B01441,Term Loan,73215.12,2024-06-03,0.085,36,2027-05-19,UCC lien,1,branch,680-719,B
L000017,B01218,Term Loan,324811.27,2023-04-15,0.0678,36,2026-03-30,equipment,0,branch,720-759,B
L000018,B00575,Equipment Loan,628413.27,2023-08-14,0.0858,24,2025-08-03,equipment,1,branch,720-759,A
L000019,B01138,Revolving Credit,1200000.0,2024-06-14,0.1441,24,2026-06-04,receivables,0,branch,580-639,C
L000020,B00917,Equipment Loan,319529.12,2024-04-10,0.146,18,2025-10-02,equipment,0,online,580-639,B
L000021,B01231,Term Loan,1200000.0,2024-08-05,0.1238,24,2026-07-26,UCC lien,1,online,640-679,B
L000022,B00313,Revolving Credit,149248.33,2023-01-15,0.1002,24,2025-01-04,UCC lien,1,online,680-719,C
L000023,B01495,Revolving Credit,48000.98,2024-03-03,0.0922,18,2025-08-25,UCC lien,0,branch,680-719,C
L000024,B00726,Invoice Financing,35007.76,2024-10-21,0.0992,18,2026-04-14,UCC lien,1,online,680-719,B
L000025,B00404,Revolving Credit,23496.75,2024-08-13,0.1423,24,2026-08-03,real estate,0,partner,580-639,C
L000026,B00039,Revolving Credit,172604.92,2023-01-21,0.0729,18,2024-07-14,equipment,0,branch,760+,D
L000027,B00923,Term Loan,49164.9,2024-09-19,0.1198,12,2025-09-14,receivables,0,branch,640-679,B
L000028,B01122,Merchant Cash Advance,97063.49,2024-03-09,0.0837,12,2025-03-04,receivables,0,branch,720-759,B
L000029,B00933,Term Loan,151243.15,2023-11-16,0.1027,36,2026-10-31,equipment,1,branch,680-719,A
L000030,B01404,Revolving Credit,63811.75,2023-05-04,0.1058,24,2025-04-23,receivables,0,online,640-679,A
L000031,B01228,Equipment Loan,66260.12,2024-05-08,0.1421,36,2027-04-23,real estate,0,online,580-639,A
L000032,B00088,Equipment Loan,630163.88,2023-03-03,0.0796,12,2024-02-26,receivables,1,relationship_manager,760+,B
L000033,B00504,Merchant Cash Advance,221578.52,2024-07-09,0.0834,18,2025-12-31,receivables,1,branch,720-759,B
L000034,B01032,Revolving Credit,157245.96,2024-04-30,0.0904,36,2027-04-15,UCC lien,1,online,680-719,A
L000035,B01442,Merchant Cash Advance,168698.58,2024-05-22,0.1407,12,2025-05-17,receivables,1,branch,580-639,B
L000036,B01294,Revolving Credit,315677.43,2024-09-22,0.1444,36,2027-09-07,receivables,0,online,580-639,D
L000037,B00776,Term Loan,547352.93,2024-12-07,0.0884,36,2027-11-22,equipment,1,branch,720-759,B
L000038,B01378,Term Loan,130200.12,2024-06-29,0.065,18,2025-12-21,equipment,0,partner,760+,C
L000039,B01197,Revolving Credit,263770.49,2024-03-18,0.0972,18,2025-09-09,receivables,1,online,680-719,C
L000040,B00451,Term Loan,84736.07,2024-09-07,0.148,18,2026-03-01,real estate,1,online,580-639,B
L000041,B00326,Equipment Loan,447848.53,2024-10-17,0.0981,12,2025-10-12,receivables,0,branch,680-719,C
L000042,B01365,Equipment Loan,209926.37,2023-03-18,0.1523,18,2024-09-08,receivables,0,online,580-639,B
L000043,B00928,Revolving Credit,762828.91,2024-03-29,0.1563,18,2025-09-20,equipment,1,partner,580-639,C
L000044,B00876,Equipment Loan,65308.71,2023-07-22,0.0966,24,2025-07-11,receivables,1,online,680-719,B
L000045,B00626,Invoice Financing,80859.82,2024-05-25,0.0779,24,2026-05-15,equipment,1,online,720-759,C
L000046,B01305,Term Loan,215806.3,2023-05-09,0.0867,18,2024-10-30,real estate,0,partner,720-759,B
L000047,B00302,Term Loan,77629.24,2024-10-10,0.0808,12,2025-10-05,real estate,0,branch,720-759,D
L000048,B00202,Term Loan,67304.53,2023-11-04,0.1269,12,2024-10-29,unsecured,0,branch,640-679,B
L000049,B01356,Revolving Credit,221732.28,2023-10-08,0.0895,36,2026-09-22,real estate,1,online,720-759,C
L000050,B00770,Merchant Cash Advance,56599.02,2024-09-25,0.0815,24,2026-09-15,receivables,1,relationship_manager,720-759,B
L000051,B00247,Invoice Financing,214591.92,2024-03-18,0.0813,36,2027-03-03,receivables,0,branch,720-759,A
L000052,B00212,Merchant Cash Advance,183383.03,2024-06-07,0.0872,24,2026-05-28,UCC lien,1,branch,720-759,B
L000053,B00376,Invoice Financing,161369.66,2023-11-30,0.0766,24,2025-11-19,UCC lien,0,partner,720-759,B
L000054,B01478,Term Loan,166696.13,2023-02-20,0.0681,12,2024-02-15,receivables,1,online,760+,B
L000055,B00755,Term Loan,272182.92,2024-09-19,0.0974,18,2026-03-13,receivables,1,branch,680-719,A
L000056,B01087,Revolving Credit,346455.98,2023-06-22,0.1011,24,2025-06-11,UCC lien,1,relationship_manager,680-719,A
L000057,B01477,Equipment Loan,96379.39,2023-12-04,0.0829,12,2024-11-28,UCC lien,1,partner,720-759,C
L000058,B01025,Invoice Financing,233581.24,2023-08-13,0.1463,36,2026-07-28,UCC lien,0,branch,580-639,C
L000059,B01192,Revolving Credit,119799.65,2023-10-12,0.121,24,2025-10-01,real estate,1,branch,640-679,B
L000060,B01295,Revolving Credit,163752.51,2023-09-28,0.0892,18,2025-03-21,receivables,0,online,720-759,A
L000061,B00509,Term Loan,239645.23,2024-11-29,0.1264,24,2026-11-19,UCC lien,1,online,640-679,C
L000062,B00768,Merchant Cash Advance,154232.3,2024-02-22,0.151,36,2027-02-06,UCC lien,1,partner,580-639,B
L000063,B01242,Equipment Loan,729222.57,2023-03-11,0.0978,24,2025-02-28,equipment,1,partner,680-719,B
L000064,B01039,Merchant Cash Advance,130871.77,2023-02-14,0.138,18,2024-08-07,equipment,1,relationship_manager,580-639,B
L000065,B00683,Equipment Loan,239900.19,2023-07-13,0.0679,36,2026-06-27,equipment,1,branch,760+,B
L000066,B00666,Equipment Loan,151119.0,2023-09-28,0.0889,36,2026-09-12,UCC lien,0,partner,680-719,B
L000067,B01474,Revolving Credit,55782.83,2024-09-15,0.1138,36,2027-08-31,equipment,0,online,640-679,B
L000068,B00195,Revolving Credit,234477.57,2024-01-03,0.0629,24,2025-12-23,UCC lien,1,partner,760+,B
L000069,B00728,Term Loan,242669.82,2024-10-22,0.1023,24,2026-10-12,receivables,0,branch,680-719,C
L000070,B00986,Equipment Loan,86622.78,2024-01-12,0.0903,12,2025-01-06,real estate,1,partner,680-719,A
L000071,B00214,Revolving Credit,179464.31,2024-05-20,0.1383,36,2027-05-05,receivables,1,online,580-639,B
L000072,B00486,Term Loan,92916.06,2024-05-16,0.085,36,2027-05-01,receivables,0,partner,680-719,C
L000073,B00419,Term Loan,128761.3,2023-08-11,0.0643,12,2024-08-05,UCC lien,1,branch,760+,C
L000074,B00185,Term Loan,691988.78,2023-10-02,0.0797,24,2025-09-21,equipment,0,branch,720-759,C
L000075,B01306,Term Loan,50861.5,2024-04-13,0.0836,18,2025-10-05,equipment,1,branch,680-719,C
L000076,B00001,Invoice Financing,366182.15,2024-11-02,0.0844,12,2025-10-28,real estate,1,online,720-759,B
L000077,B01352,Merchant Cash Advance,162222.34,2024-07-29,0.0983,36,2027-07-14,unsecured,1,partner,680-719,B
L000078,B00723,Revolving Credit,326402.42,2023-03-29,0.1231,24,2025-03-18,UCC lien,0,branch,640-679,B
L000079,B01046,Term Loan,142759.2,2023-03-03,0.1045,24,2025-02-20,equipment,0,branch,640-679,C
L000080,B01129,Term Loan,66503.23,2024-05-20,0.1062,18,2025-11-11,equipment,1,branch,680-719,B
L000081,B01242,Merchant Cash Advance,875855.77,2023-05-09,0.0843,24,2025-04-28,receivables,1,branch,680-719,B
L000082,B00878,Term Loan,351298.58,2024-12-29,0.0908,24,2026-12-19,equipment,1,online,680-719,B
L000083,B01490,Term Loan,51093.67,2024-10-27,0.0829,18,2026-04-20,equipment,1,branch,680-719,A
