payroll_id,business_id,payroll_month,employee_count,full_time_count,part_time_count,payroll_amount,avg_wage_estimate,overtime_hours_proxy,payroll_processor
PY0000001,B00001,2024-01,7,4,3,22503.39,3214.77,13.9,Paychex
PY0000002,B00002,2024-01,21,13,8,120491.69,5737.7,41.8,ADP
PY0000003,B00003,2024-01,26,18,8,118570.67,4560.41,22.5,Gusto
PY0000004,B00004,2024-01,4,3,1,16695.76,4173.94,69.0,ADP
PY0000005,B00005,2024-01,3,2,1,16802.21,5600.74,9.3,ADP
PY0000006,B00006,2024-01,7,4,3,27497.85,3928.26,76.7,Gusto
PY0000007,B00007,2024-01,14,10,4,42197.66,3014.12,76.6,Paychex
PY0000008,B00008,2024-01,1,1,0,16871.13,16871.13,1.1,ADP
PY0000009,B00009,2024-01,2,1,1,17205.52,8602.76,3.4,ADP
PY0000010,B00010,2024-01,4,3,1,31083.84,7770.96,76.9,Paychex
PY0000011,B00011,2024-01,2,2,0,25108.51,12554.26,46.4,Paychex
PY0000012,B00012,2024-01,7,4,3,51637.38,7376.77,59.1,ADP
PY0000013,B00013,2024-01,3,2,1,28885.75,9628.58,16.4,Paychex
PY0000014,B00014,2024-01,1,1,0,15220.1,15220.1,49.5,ADP
PY0000015,B00015,2024-01,5,4,1,21928.55,4385.71,20.0,ADP
PY0000016,B00016,2024-01,15,10,5,93457.29,6230.49,2.6,QuickBooks
PY0000017,B00017,2024-01,15,11,4,50253.37,3350.22,66.9,Paychex
PY0000018,B00018,2024-01,3,2,1,17585.48,5861.83,3.1,ADP
PY0000019,B00019,2024-01,4,3,1,16506.78,4126.7,38.4,Paychex
PY0000020,B00020,2024-01,1,1,0,12010.85,12010.85,28.6,Paychex
PY0000021,B00021,2024-01,5,4,1,16814.39,3362.88,63.1,Gusto
PY0000022,B00022,2024-01,3,2,1,28406.41,9468.8,17.2,ADP
PY0000023,B00023,2024-01,18,13,5,105657.84,5869.88,27.9,QuickBooks
PY0000024,B00024,2024-01,9,7,2,36358.29,4039.81,28.1,Paychex
PY0000025,B00025,2024-01,2,2,0,16691.93,8345.97,68.8,Paychex
PY0000026,B00026,2024-01,11,9,2,37022.26,3365.66,8.3,Gusto
PY0000027,B00027,2024-01,4,3,1,27442.97,6860.74,18.1,ADP
PY0000028,B00028,2024-01,6,4,2,40731.83,6788.64,51.0,ADP
PY0000029,B00029,2024-01,3,2,1,16894.33,5631.44,61.0,ADP
PY0000030,B00030,2024-01,3,2,1,9946.85,3315.62,15.5,ADP
PY0000031,B00031,2024-01,5,3,2,20701.56,4140.31,70.6,manual
PY0000032,B00032,2024-01,10,6,4,47402.28,4740.23,67.4,ADP
PY0000033,B00033,2024-01,16,10,6,77630.71,4851.92,26.4,QuickBooks
PY0000034,B00034,2024-01,2,1,1,10535.74,5267.87,66.3,ADP
PY0000035,B00035,2024-01,19,15,4,70547.23,3713.01,29.5,Gusto
PY0000036,B00036,2024-01,6,4,2,19032.69,3172.12,11.2,QuickBooks
PY0000037,B00037,2024-01,5,3,2,16126.77,3225.35,14.6,ADP
PY0000038,B00038,2024-01,2,1,1,10359.43,5179.72,2.6,manual
PY0000039,B00039,2024-01,5,4,1,33536.15,6707.23,46.9,ADP
PY0000040,B00040,2024-01,13,10,3,86418.6,6647.58,46.2,ADP
PY0000041,B00041,2024-01,4,3,1,17159.26,4289.81,33.2,Paychex
PY0000042,B00042,2024-01,5,3,2,13865.75,2773.15,37.6,QuickBooks
PY0000043,B00043,2024-01,4,3,1,34290.76,8572.69,61.4,QuickBooks
PY0000044,B00044,2024-01,1,1,0,8759.68,8759.68,40.6,QuickBooks
PY0000045,B00045,2024-01,1,1,0,12119.52,12119.52,60.5,Gusto
PY0000046,B00046,2024-01,6,5,1,29829.76,4971.63,71.2,ADP
PY0000047,B00047,2024-01,23,16,7,99409.63,4322.16,13.6,Gusto
PY0000048,B00048,2024-01,3,3,0,12673.39,4224.46,79.6,Gusto
PY0000049,B00049,2024-01,4,2,2,21270.96,5317.74,57.9,Paychex
PY0000050,B00050,2024-01,3,2,1,17300.39,5766.8,53.1,Paychex
PY0000051,B00051,2024-01,5,4,1,16798.08,3359.62,8.2,QuickBooks
PY0000052,B00052,2024-01,7,4,3,35408.62,5058.37,38.3,QuickBooks
PY0000053,B00053,2024-01,11,9,2,59368.38,5397.13,70.7,Paychex
PY0000054,B00054,2024-01,1,1,0,11639.13,11639.13,4.5,QuickBooks
PY0000055,B00055,2024-01,13,9,4,49140.7,3780.05,66.4,QuickBooks
PY0000056,B00056,2024-01,2,2,0,10790.36,5395.18,35.8,Gusto
PY0000057,B00057,2024-01,5,3,2,15119.91,3023.98,29.3,ADP
PY0000058,B00058,2024-01,3,2,1,14491.44,4830.48,15.0,ADP
PY0000059,B00059,2024-01,38,22,16,179599.53,4726.3,40.2,Paychex
PY0000060,B00060,2024-01,26,20,6,113692.95,4372.81,19.6,Gusto
PY0000061,B00061,2024-01,3,2,1,9164.01,3054.67,9.7,ADP
PY0000062,B00062,2024-01,9,7,2,31515.61,3501.73,42.4,Gusto
PY0000063,B00063,2024-01,2,1,1,9952.5,4976.25,10.6,Gusto
PY0000064,B00064,2024-01,9,6,3,38314.3,4257.14,54.8,ADP
PY0000065,B00065,2024-01,4,3,1,24010.31,6002.58,41.4,ADP
PY0000066,B00066,2024-01,2,1,1,20425.53,10212.77,28.2,Paychex
PY0000067,B00067,2024-01,12,9,3,50487.05,4207.25,46.3,Paychex
PY0000068,B00068,2024-01,5,4,1,27777.0,5555.4,41.9,ADP
PY0000069,B00069,2024-01,35,23,12,168213.88,4806.11,75.5,Gusto
PY0000070,B00070,2024-01,4,2,2,26436.28,6609.07,59.5,Gusto
