repayment_id,loan_id,business_id,payment_month,scheduled_amount,actual_payment,days_past_due,payment_status,principal_remaining,auto_debit_success_flag,payment_channel
RP0022701,L000016,B01441,2024-06,2311.22,2348.14,0,on_time,70903.9,1,auto_debit
RP0021715,L000016,B01441,2024-07,2311.22,2367.03,2,on_time,68592.68,1,auto_debit
RP0020687,L000016,B01441,2024-08,2311.22,2300.22,0,on_time,66281.46,1,ACH
RP0019625,L000016,B01441,2024-09,2311.22,2346.24,0,on_time,63970.24,1,auto_debit
RP0018527,L000016,B01441,2024-10,2311.22,449.53,0,on_time,61659.01,1,ACH
RP0017401,L000016,B01441,2024-11,2311.22,2296.11,0,on_time,59347.79,1,ACH
RP0016244,L000016,B01441,2024-12,2311.22,2269.7,30,late_30_59,57036.57,1,auto_debit
RP0015033,L000016,B01441,2025-01,2311.22,2326.32,0,on_time,54725.35,0,auto_debit
RP0013807,L000016,B01441,2025-02,2311.22,2359.85,2,on_time,52414.13,1,ACH
RP0012573,L000016,B01441,2025-03,2311.22,2307.49,0,on_time,50102.91,1,ACH
RP0011332,L000016,B01441,2025-04,2311.22,2292.2,0,on_time,47791.69,0,ACH
RP0010085,L000016,B01441,2025-05,2311.22,2357.88,0,on_time,45480.47,1,auto_debit
RP0008831,L000016,B01441,2025-06,2311.22,2292.47,0,on_time,43169.25,1,auto_debit
RP0007572,L000016,B01441,2025-07,2311.22,2313.54,2,on_time,40858.03,1,ACH
RP0006308,L000016,B01441,2025-08,2311.22,2375.57,2,on_time,38546.8,0,auto_debit
RP0005041,L000016,B01441,2025-09,2311.22,2291.12,0,on_time,36235.58,1,auto_debit
RP0003770,L000016,B01441,2025-10,2311.22,2357.06,0,on_time,33924.36,1,ACH
RP0002498,L000016,B01441,2025-11,2311.22,522.67,0,on_time,31613.14,1,auto_debit
RP0001224,L000016,B01441,2025-12,2311.22,2334.59,0,on_time,29301.92,1,auto_debit
RP0037632,L000022,B00313,2024-01,6888.43,6988.81,0,on_time,142359.9,1,auto_debit
RP0036682,L000022,B00313,2024-02,6888.43,6880.07,0,on_time,135471.47,1,auto_debit
RP0035620,L000022,B00313,2024-03,6888.43,7065.42,20,late_1_29,128583.04,0,ACH
RP0034445,L000022,B00313,2024-04,6888.43,6836.37,0,on_time,121694.61,1,auto_debit
RP0033172,L000022,B00313,2024-05,6888.43,7085.97,0,on_time,114806.18,0,auto_debit
RP0031817,L000022,B00313,2024-06,6888.43,1355.77,0,on_time,107917.74,1,auto_debit
RP0030388,L000022,B00313,2024-07,6888.43,6882.23,0,on_time,101029.31,1,auto_debit
RP0028138,L000022,B00313,2024-08,6888.43,7003.85,2,on_time,94140.88,1,ACH
RP0025676,L000022,B00313,2024-09,6888.43,6988.72,0,on_time,87252.45,0,auto_debit
RP0022945,L000022,B00313,2024-10,6888.43,6994.72,0,on_time,80364.02,1,ACH
RP0019892,L000022,B00313,2024-11,6888.43,7022.64,0,on_time,73475.59,0,ACH
RP0017683,L000022,B00313,2024-12,6888.43,6924.84,0,on_time,66587.16,1,auto_debit
RP0015337,L000022,B00313,2025-01,6888.43,6773.68,0,on_time,59698.73,1,auto_debit
RP0025915,L000069,B00728,2024-10,11223.76,11261.01,0,on_time,231446.06,1,auto_debit
RP0024130,L000069,B00728,2024-11,11223.76,11326.5,0,on_time,220222.3,0,auto_debit
RP0022235,L000069,B00728,2024-12,11223.76,11013.5,0,on_time,208998.54,1,auto_debit
RP0020187,L000069,B00728,2025-01,11223.76,11147.89,0,on_time,197774.78,1,auto_debit
RP0017996,L000069,B00728,2025-02,11223.76,11410.67,0,on_time,186551.02,1,auto_debit
RP0015678,L000069,B00728,2025-03,11223.76,11415.5,0,on_time,175327.26,1,auto_debit
RP0013230,L000069,B00728,2025-04,11223.76,11397.93,0,on_time,164103.5,1,auto_debit
RP0010749,L000069,B00728,2025-05,11223.76,11532.45,0,on_time,152879.74,1,auto_debit
RP0008240,L000069,B00728,2025-06,11223.76,11537.64,0,on_time,141655.99,1,ACH
RP0006980,L000069,B00728,2025-07,11223.76,11147.31,0,on_time,130432.23,1,ACH
RP0005715,L000069,B00728,2025-08,11223.76,11506.98,0,on_time,119208.47,1,auto_debit
RP0004444,L000069,B00728,2025-09,11223.76,11294.06,0,on_time,107984.71,1,ACH
RP0003173,L000069,B00728,2025-10,11223.76,11263.57,0,on_time,96760.95,1,auto_debit
RP0001901,L000069,B00728,2025-11,11223.76,11387.07,0,on_time,85537.19,1,auto_debit
RP0000627,L000069,B00728,2025-12,11223.76,11099.5,0,on_time,74313.43,1,auto_debit
RP0017421,L000107,B01468,2024-01,9036.59,9170.76,0,on_time,142835.23,1,auto_debit
RP0016264,L000107,B01468,2024-02,9036.59,601.59,2,on_time,133798.63,0,auto_debit
RP0015054,L000107,B01468,2024-03,9036.59,9036.07,0,on_time,124762.04,0,auto_debit
RP0013828,L000107,B01468,2024-04,9036.59,9252.18,0,on_time,115725.45,0,auto_debit
RP0012594,L000107,B01468,2024-05,9036.59,9137.02,0,on_time,106688.85,0,auto_debit
RP0011353,L000107,B01468,2024-06,9036.59,9180.94,0,on_time,97652.26,1,auto_debit
RP0010106,L000107,B01468,2024-07,9036.59,8870.77,0,on_time,88615.67,1,auto_debit
RP0008852,L000107,B01468,2024-08,9036.59,8878.38,0,on_time,79579.08,1,ACH
RP0007593,L000107,B01468,2024-09,9036.59,9114.56,0,on_time,70542.48,1,auto_debit
RP0006329,L000107,B01468,2024-10,9036.59,9128.29,0,on_time,61505.89,1,wire
RP0005062,L000107,B01468,2024-11,9036.59,9141.07,0,on_time,52469.3,1,auto_debit
RP0003791,L000107,B01468,2024-12,9036.59,9085.23,0,on_time,43432.7,1,ACH
RP0002519,L000107,B01468,2025-01,9036.59,9107.11,0,on_time,34396.11,1,ACH
RP0001245,L000107,B01468,2025-02,9036.59,9175.63,0,on_time,25359.52,1,auto_debit
RP0045383,L000120,B01454,2024-02,2980.49,3042.59,0,on_time,91532.89,0,auto_debit
RP0045206,L000120,B01454,2024-03,2980.49,3045.29,0,on_time,88552.4,1,ACH
RP0045001,L000120,B01454,2024-04,2980.49,2963.41,0,on_time,85571.91,0,ACH
RP0044768,L000120,B01454,2024-05,2980.49,2978.9,0,on_time,82591.42,1,ACH
RP0044514,L000120,B01454,2024-06,2980.49,3038.69,2,on_time,79610.93,1,ACH
RP0044090,L000120,B01454,2024-07,2980.49,3017.65,0,on_time,76630.44,0,ACH
RP0043595,L000120,B01454,2024-08,2980.49,2946.87,0,on_time,73649.95,1,ACH
RP0043012,L000120,B01454,2024-09,2980.49,2983.36,0,on_time,70669.46,1,ACH
RP0042331,L000120,B01454,2024-10,2980.49,2955.15,0,on_time,67688.97,0,auto_debit
RP0041819,L000120,B01454,2024-11,2980.49,3045.87,2,on_time,64708.48,1,auto_debit
RP0041248,L000120,B01454,2024-12,2980.49,3007.04,0,on_time,61727.99,1,auto_debit
RP0040626,L000120,B01454,2025-01,2980.49,3038.28,0,on_time,58747.5,0,auto_debit
RP0039945,L000120,B01454,2025-02,2980.49,2940.65,0,on_time,55767.01,0,ACH
RP0039192,L000120,B01454,2025-03,2980.49,909.24,0,on_time,52786.52,1,auto_debit
RP0038376,L000120,B01454,2025-04,2980.49,3007.58,0,on_time,49806.03,1,wire
RP0037498,L000120,B01454,2025-05,2980.49,2958.58,0,on_time,46825.54,1,auto_debit
RP0036536,L000120,B01454,2025-06,2980.49,2927.79,2,on_time,43845.05,1,auto_debit
RP0035464,L000120,B01454,2025-07,2980.49,2984.5,0,on_time,40864.56,1,wire
RP0034279,L000120,B01454,2025-08,2980.49,3040.37,0,on_time,37884.07,1,wire
RP0032995,L000120,B01454,2025-09,2980.49,2980.86,0,on_time,34903.58,0,ACH
RP0031636,L000120,B01454,2025-10,2980.49,2958.8,0,on_time,31923.09,1,auto_debit
RP0030200,L000120,B01454,2025-11,2980.49,3040.62,0,on_time,28942.6,1,auto_debit
RP0028707,L000120,B01454,2025-12,2980.49,2929.03,0,on_time,25962.11,1,auto_debit
RP0034001,L000131,B00793,2024-01,604.87,320.85,0,on_time,17624.67,1,auto_debit
RP0033365,L000131,B00793,2024-02,604.87,253.67,2,on_time,17019.8,1,ACH
RP0032702,L000131,B00793,2024-03,604.87,599.8,0,on_time,16414.92,1,ACH
RP0032022,L000131,B00793,2024-04,604.87,17.69,0,on_time,15810.05,1,ACH
RP0031326,L000131,B00793,2024-05,604.87,612.92,2,on_time,15205.18,0,ACH
RP0030609,L000131,B00793,2024-06,604.87,598.6,0,on_time,14600.31,0,auto_debit
RP0029874,L000131,B00793,2024-07,604.87,611.55,2,on_time,13995.43,0,ACH
RP0029125,L000131,B00793,2024-08,604.87,607.33,0,on_time,13390.56,1,ACH
RP0028372,L000131,B00793,2024-09,604.87,617.87,0,on_time,12785.69,0,ACH
RP0027607,L000131,B00793,2024-10,604.87,613.35,0,on_time,12180.82,1,ACH
RP0026801,L000131,B00793,2024-11,604.87,100.73,10,late_1_29,11575.94,1,auto_debit
RP0025949,L000131,B00793,2024-12,604.87,608.23,2,on_time,10971.07,1,ACH
RP0025065,L000131,B00793,2025-01,604.87,621.93,2,on_time,10366.2,0,ACH
RP0024165,L000131,B00793,2025-02,604.87,622.02,2,on_time,9761.33,1,auto_debit
RP0023238,L000131,B00793,2025-03,604.87,606.37,30,late_30_59,9156.46,1,auto_debit
RP0022271,L000131,B00793,2025-04,604.87,605.9,0,on_time,8551.58,1,wire
RP0021267,L000131,B00793,2025-05,604.87,602.15,0,on_time,7946.71,1,auto_debit
RP0020226,L000131,B00793,2025-06,604.87,20.17,0,on_time,7341.84,1,auto_debit
RP0019149,L000131,B00793,2025-07,604.87,610.23,0,on_time,6736.97,1,auto_debit
RP0018040,L000131,B00793,2025-08,604.87,619.91,0,on_time,6132.09,1,wire
RP0016902,L000131,B00793,2025-09,604.87,611.42,0,on_time,5527.22,0,ACH
RP0015728,L000131,B00793,2025-10,604.87,614.75,0,on_time,4922.35,1,ACH
RP0014511,L000131,B00793,2025-11,604.87,597.69,0,on_time,4317.48,1,auto_debit
RP0013281,L000131,B00793,2025-12,604.87,596.87,0,on_time,3712.6,1,auto_debit
RP0044958,L000133,B00864,2024-01,5748.68,5877.95,0,on_time,89532.78,1,auto_debit
RP0044598,L000133,B00864,2024-02,5748.68,5641.58,2,on_time,83784.09,1,auto_debit
RP0044187,L000133,B00864,2024-03,5748.68,5711.31,0,on_time,78035.41,1,ACH
RP0043708,L000133,B00864,2024-04,5748.68,5869.48,2,on_time,72286.72,1,ACH
RP0043136,L000133,B00864,2024-05,5748.68,4786.46,0,on_time,66538.04,1,auto_debit
RP0042476,L000133,B00864,2024-06,5748.68,1351.97,0,on_time,60789.35,1,ACH
RP0041714,L000133,B00864,2024-07,5748.68,5696.53,0,on_time,55040.67,1,ACH
RP0040822,L000133,B00864,2024-08,5748.68,5802.35,0,on_time,49291.99,0,auto_debit
RP0039806,L000133,B00864,2024-09,5748.68,20.67,2,on_time,43543.3,0,ACH
RP0038636,L000133,B00864,2024-10,5748.68,5901.0,0,on_time,37794.62,0,wire
RP0037320,L000133,B00864,2024-11,5748.68,5833.3,0,on_time,32045.93,1,ACH
RP0040938,L000199,B01433,2024-01,4949.11,5061.31,0,on_time,74755.14,1,auto_debit
RP0040292,L000199,B01433,2024-02,4949.11,5016.52,0,on_time,69806.04,1,auto_debit
RP0039574,L000199,B01433,2024-03,4949.11,5008.61,0,on_time,64856.93,1,auto_debit
RP0038790,L000199,B01433,2024-04,4949.11,5088.09,0,on_time,59907.82,1,ACH
RP0037940,L000199,B01433,2024-05,4949.11,5060.03,0,on_time,54958.72,1,auto_debit
