table_name,column_name,dtype,description
business_customers,business_id,VARCHAR,Unique business identifier.
business_customers,business_name,VARCHAR,Synthetic project field; see README/project brief.
business_customers,industry_id,VARCHAR,Synthetic project field; see README/project brief.
business_customers,industry,VARCHAR,Synthetic project field; see README/project brief.
business_customers,region_id,VARCHAR,Synthetic project field; see README/project brief.
business_customers,region,VARCHAR,Synthetic project field; see README/project brief.
business_customers,state,VARCHAR,Synthetic project field; see README/project brief.
business_customers,city_tier,VARCHAR,Synthetic project field; see README/project brief.
business_customers,years_in_business,INTEGER,Synthetic project field; see README/project brief.
business_customers,revenue_band,VARCHAR,Synthetic project field; see README/project brief.
business_customers,estimated_monthly_revenue_band_midpoint,INTEGER,Synthetic project field; see README/project brief.
business_customers,employee_count_base,INTEGER,Synthetic project field; see README/project brief.
business_customers,legal_structure,VARCHAR,Synthetic project field; see README/project brief.
business_customers,credit_score_band_at_origination,VARCHAR,Synthetic project field; see README/project brief.
business_customers,has_prior_delinquency,INTEGER,Synthetic project field; see README/project brief.
business_customers,owner_experience_years,INTEGER,Synthetic project field; see README/project brief.
business_customers,online_sales_share,DOUBLE,Synthetic project field; see README/project brief.
business_customers,relationship_manager_id,VARCHAR,Synthetic project field; see README/project brief.
business_customers,onboarding_date,DATE,Synthetic project field; see README/project brief.
business_customers,primary_bank_account_type,VARCHAR,Synthetic project field; see README/project brief.
industry_benchmark,industry_id,VARCHAR,Synthetic project field; see README/project brief.
industry_benchmark,industry,VARCHAR,Synthetic project field; see README/project brief.
industry_benchmark,benchmark_margin,"DECIMAL(3,2)",Synthetic project field; see README/project brief.
industry_benchmark,benchmark_cash_flow_volatility,"DECIMAL(3,2)",Synthetic project field; see README/project brief.
industry_benchmark,benchmark_collection_days,INTEGER,Synthetic project field; see README/project brief.
industry_benchmark,benchmark_repayment_burden_pct,INTEGER,Synthetic project field; see README/project brief.
industry_benchmark,payroll_intensity,"DECIMAL(3,2)",Synthetic project field; see README/project brief.
industry_benchmark,seasonality_peak_month,INTEGER,Synthetic project field; see README/project brief.
industry_benchmark,typical_transaction_intensity,"DECIMAL(2,1)",Synthetic project field; see README/project brief.
industry_benchmark,economic_sensitivity,"DECIMAL(3,2)",Synthetic project field; see README/project brief.
region_macro_index,month,VARCHAR,Calendar month YYYY-MM.
region_macro_index,region_id,VARCHAR,Synthetic project field; see README/project brief.
region_macro_index,region,VARCHAR,Synthetic project field; see README/project brief.
region_macro_index,interest_rate_proxy,DOUBLE,Synthetic project field; see README/project brief.
region_macro_index,local_demand_index,DOUBLE,Synthetic project field; see README/project brief.
region_macro_index,small_business_confidence_index,DOUBLE,Synthetic project field; see README/project brief.
region_macro_index,unemployment_proxy,DOUBLE,Synthetic project field; see README/project brief.
relationship_managers,relationship_manager_id,VARCHAR,Synthetic project field; see README/project brief.
relationship_managers,region_id,VARCHAR,Synthetic project field; see README/project brief.
relationship_managers,portfolio_focus,VARCHAR,Synthetic project field; see README/project brief.
relationship_managers,years_experience,INTEGER,Synthetic project field; see README/project brief.
relationship_managers,portfolio_size_band,VARCHAR,Synthetic project field; see README/project brief.
calendar_months,month,VARCHAR,Calendar month YYYY-MM.
calendar_months,month_start_date,DATE,Synthetic project field; see README/project brief.
calendar_months,year,BIGINT,Synthetic project field; see README/project brief.
calendar_months,quarter,VARCHAR,Synthetic project field; see README/project brief.
calendar_months,month_num,BIGINT,Synthetic project field; see README/project brief.
calendar_months,is_year_end_season,INTEGER,Synthetic project field; see README/project brief.
calendar_months,is_tax_season,INTEGER,Synthetic project field; see README/project brief.
loans,loan_id,VARCHAR,Synthetic project field; see README/project brief.
loans,business_id,VARCHAR,Unique business identifier.
loans,product_type,VARCHAR,Synthetic project field; see README/project brief.
loans,loan_amount,DOUBLE,Synthetic project field; see README/project brief.
loans,start_date,DATE,Synthetic project field; see README/project brief.
loans,interest_rate,DOUBLE,Synthetic project field; see README/project brief.
loans,loan_term_months,INTEGER,Synthetic project field; see README/project brief.
loans,maturity_date,DATE,Synthetic project field; see README/project brief.
loans,collateral_type,VARCHAR,Synthetic project field; see README/project brief.
loans,secured_flag,INTEGER,Synthetic project field; see README/project brief.
